COUNTY,MUNICIPALITY,CLASS
Adams,Abbottstown Borough Pennsylvania,Borough
Adams,Arendtsville Borough Pennsylvania,Borough
Adams,Bendersville Borough Pennsylvania,Borough
Adams,Berwick Township Pennsylvania,2nd Township
Adams,Biglerville Borough Pennsylvania,Borough
Adams,Bonneauville Borough Pennsylvania,Borough
Adams,Butler Township Pennsylvania,2nd Township
Adams,Carroll Valley Borough Pennsylvania,Borough
Adams,Conewago Township Pennsylvania,2nd Township
Adams,Cumberland Township Pennsylvania,2nd Township
Adams,East Berlin Borough Pennsylvania,Borough
Adams,Fairfield Borough Pennsylvania,Borough
Adams,Franklin Township Pennsylvania,2nd Township
Adams,Freedom Township Pennsylvania,2nd Township
Adams,Germany Township Pennsylvania,2nd Township
Adams,Gettysburg Borough Pennsylvania,Borough
Adams,Hamilton Township Pennsylvania,2nd Township
Adams,Hamiltonban Township Pennsylvania,2nd Township
Adams,Highland Township Pennsylvania,2nd Township
Adams,Huntington Township Pennsylvania,2nd Township
Adams,Latimore Township Pennsylvania,2nd Township
Adams,Liberty Township Pennsylvania,2nd Township
Adams,Littlestown Borough Pennsylvania,Borough
Adams,Mcsherrystown Borough Pennsylvania,Borough
Adams,Menallen Township Pennsylvania,2nd Township
Adams,Mt Joy Township Pennsylvania,2nd Township
Adams,Mt Pleasant Township Pennsylvania,2nd Township
Adams,New Oxford Borough Pennsylvania,Borough
Adams,Oxford Township Pennsylvania,2nd Township
Adams,Reading Township Pennsylvania,2nd Township
Adams,Straban Township Pennsylvania,2nd Township
Adams,Tyrone Township Pennsylvania,2nd Township
Adams,Union Township Pennsylvania,2nd Township
Adams,York Springs Borough Pennsylvania,Borough
Allegheny,Aleppo Township Pennsylvania,1st Township
Allegheny,Aspinwall Borough Pennsylvania,Borough
Allegheny,Avalon Borough Pennsylvania,Borough
Allegheny,Baldwin Borough Pennsylvania,Borough
Allegheny,Baldwin Township Pennsylvania,1st Township
Allegheny,Bell Acres Borough Pennsylvania,Borough
Allegheny,Bellevue Borough Pennsylvania,Borough
Allegheny,Ben Avon Borough Pennsylvania,Borough
Allegheny,Ben Avon Heights Borough Pennsylvania,Borough
Allegheny,Bethel Park Borough Pennsylvania,Borough
Allegheny,Blawnox Borough Pennsylvania,Borough
Allegheny,Brackenridge Borough Pennsylvania,Borough
Allegheny,Braddock Borough Pennsylvania,Borough
Allegheny,Braddock Hills Borough Pennsylvania,Borough
Allegheny,Bradford Woods Borough Pennsylvania,Borough
Allegheny,Brentwood Borough Pennsylvania,Borough
Allegheny,Bridgeville Borough Pennsylvania,Borough
Allegheny,Carnegie Borough Pennsylvania,Borough
Allegheny,Castle Shannon Borough Pennsylvania,Borough
Allegheny,Chalfant Borough Pennsylvania,Borough
Allegheny,Cheswick Borough Pennsylvania,Borough
Allegheny,Churchill Borough Pennsylvania,Borough
Allegheny,Clairton City Pennsylvania,City
Allegheny,Collier Township Pennsylvania,1st Township
Allegheny,Coraopolis Borough Pennsylvania,Borough
Allegheny,Crafton Borough Pennsylvania,Borough
Allegheny,Crescent Township Pennsylvania,1st Township
Allegheny,Dormont Borough Pennsylvania,Borough
Allegheny,Dravosburg Borough Pennsylvania,Borough
Allegheny,Duquesne City Pennsylvania,City
Allegheny,East Deer Township Pennsylvania,1st Township
Allegheny,East Mckeesport Borough Pennsylvania,Borough
Allegheny,East Pittsburgh Borough Pennsylvania,Borough
Allegheny,Edgewood Borough Pennsylvania,Borough
Allegheny,Edgeworth Borough Pennsylvania,Borough
Allegheny,Elizabeth Borough Pennsylvania,Borough
Allegheny,Elizabeth Township Pennsylvania,1st Township
Allegheny,Emsworth Borough Pennsylvania,Borough
Allegheny,Etna Borough Pennsylvania,Borough
Allegheny,Fawn Township Pennsylvania,2nd Township
Allegheny,Findlay Township Pennsylvania,2nd Township
Allegheny,Forest Hills Borough Pennsylvania,Borough
Allegheny,Forward Township Pennsylvania,2nd Township
Allegheny,Fox Chapel Borough Pennsylvania,Borough
Allegheny,Franklin Park Borough Pennsylvania,Borough
Allegheny,Frazer Township Pennsylvania,2nd Township
Allegheny,Glassport Borough Pennsylvania,Borough
Allegheny,Glen Osborne Borough Pennsylvania,Borough
Allegheny,Glenfield Borough Pennsylvania,Borough
Allegheny,Green Tree Borough Pennsylvania,Borough
Allegheny,Hampton Township Pennsylvania,2nd Township
Allegheny,Harmar Township Pennsylvania,2nd Township
Allegheny,Harrison Township Pennsylvania,1st Township
Allegheny,Haysville Borough Pennsylvania,Borough
Allegheny,Heidelberg Borough Pennsylvania,Borough
Allegheny,Homestead Borough Pennsylvania,Borough
Allegheny,Indiana Township Pennsylvania,2nd Township
Allegheny,Ingram Borough Pennsylvania,Borough
Allegheny,Jefferson Hills Borough Pennsylvania,Borough
Allegheny,Kennedy Township Pennsylvania,1st Township
Allegheny,Kilbuck Township Pennsylvania,2nd Township
Allegheny,Leet Township Pennsylvania,1st Township
Allegheny,Leetsdale Borough Pennsylvania,Borough
Allegheny,Liberty Borough Pennsylvania,Borough
Allegheny,Lincoln Borough Pennsylvania,Borough
Allegheny,Marshall Township Pennsylvania,2nd Township
Allegheny,Mccandless Township Pennsylvania,1st Township
Allegheny,Mckees Rocks Borough Pennsylvania,Borough
Allegheny,Mckeesport City Pennsylvania,City
Allegheny,Millvale Borough Pennsylvania,Borough
Allegheny,Monroeville Borough Pennsylvania,Borough
Allegheny,Moon Township Pennsylvania,2nd Township
Allegheny,Mount Oliver Borough Pennsylvania,Borough
Allegheny,Mt Lebanon Township Pennsylvania,1st Township
Allegheny,Munhall Borough Pennsylvania,Borough
Allegheny,Neville Township Pennsylvania,1st Township
Allegheny,North Braddock Borough Pennsylvania,Borough
Allegheny,North Fayette Township Pennsylvania,2nd Township
Allegheny,North Versailles Township Pennsylvania,1st Township
Allegheny,Oakdale Borough Pennsylvania,Borough
Allegheny,Oakmont Borough Pennsylvania,Borough
Allegheny,Ohara Township Pennsylvania,1st Township
Allegheny,Ohio Township Pennsylvania,2nd Township
Allegheny,Penn Hills Township Pennsylvania,1st Township
Allegheny,Pennsbury Village Borough Pennsylvania,Borough
Allegheny,Pine Township Pennsylvania,2nd Township
Allegheny,Pitcairn Borough Pennsylvania,Borough
Allegheny,Pittsburgh City Pennsylvania,City
Allegheny,Pleasant Hills Borough Pennsylvania,Borough
Allegheny,Plum Borough Pennsylvania,Borough
Allegheny,Port Vue Borough Pennsylvania,Borough
Allegheny,Rankin Borough Pennsylvania,Borough
Allegheny,Reserve Township Pennsylvania,1st Township
Allegheny,Richland Township Pennsylvania,2nd Township
Allegheny,Robinson Township Pennsylvania,1st Township
Allegheny,Ross Township Pennsylvania,1st Township
Allegheny,Rosslyn Farms Borough Pennsylvania,Borough
Allegheny,Scott Township Pennsylvania,1st Township
Allegheny,Sewickley Borough Pennsylvania,Borough
Allegheny,Sewickley Heights Borough Pennsylvania,Borough
Allegheny,Sewickley Hills Borough Pennsylvania,Borough
Allegheny,Shaler Township Pennsylvania,1st Township
Allegheny,Sharpsburg Borough Pennsylvania,Borough
Allegheny,South Fayette Township Pennsylvania,1st Township
Allegheny,South Park Township Pennsylvania,2nd Township
Allegheny,South Versailles Township Pennsylvania,1st Township
Allegheny,Springdale Borough Pennsylvania,Borough
Allegheny,Springdale Township Pennsylvania,1st Township
Allegheny,Stowe Township Pennsylvania,1st Township
Allegheny,Swissvale Borough Pennsylvania,Borough
Allegheny,Tarentum Borough Pennsylvania,Borough
Allegheny,Thornburg Borough Pennsylvania,Borough
Allegheny,Turtle Creek Borough Pennsylvania,Borough
Allegheny,Upper St Clair Township Pennsylvania,1st Township
Allegheny,Verona Borough Pennsylvania,Borough
Allegheny,Versailles Borough Pennsylvania,Borough
Allegheny,Wall Borough Pennsylvania,Borough
Allegheny,West Deer Township Pennsylvania,2nd Township
Allegheny,West Elizabeth Borough Pennsylvania,Borough
Allegheny,West Homestead Borough Pennsylvania,Borough
Allegheny,West Mifflin Borough Pennsylvania,Borough
Allegheny,West View Borough Pennsylvania,Borough
Allegheny,Whitaker Borough Pennsylvania,Borough
Allegheny,White Oak Borough Pennsylvania,Borough
Allegheny,Whitehall Borough Pennsylvania,Borough
Allegheny,Wilkins Township Pennsylvania,1st Township
Allegheny,Wilkinsburg Borough Pennsylvania,Borough
Allegheny,Wilmerding Borough Pennsylvania,Borough
Armstrong,Apollo Borough Pennsylvania,Borough
Armstrong,Applewold Borough Pennsylvania,Borough
Armstrong,Atwood Borough Pennsylvania,Borough
Armstrong,Bethel Township Pennsylvania,2nd Township
Armstrong,Boggs Township Pennsylvania,2nd Township
Armstrong,Bradys Bend Township Pennsylvania,2nd Township
Armstrong,Burrell Township Pennsylvania,2nd Township
Armstrong,Cadogan Township Pennsylvania,2nd Township
Armstrong,Cowanshannock Township Pennsylvania,2nd Township
Armstrong,Dayton Borough Pennsylvania,Borough
Armstrong,East Franklin Township Pennsylvania,2nd Township
Armstrong,Elderton Borough Pennsylvania,Borough
Armstrong,Ford City Borough Pennsylvania,Borough
Armstrong,Ford Cliff Borough Pennsylvania,Borough
Armstrong,Freeport Borough Pennsylvania,Borough
Armstrong,Gilpin Township Pennsylvania,2nd Township
Armstrong,Hovey Township Pennsylvania,2nd Township
Armstrong,Kiskiminetas Township Pennsylvania,2nd Township
Armstrong,Kittanning Borough Pennsylvania,Borough
Armstrong,Kittanning Township Pennsylvania,2nd Township
Armstrong,Leechburg Borough Pennsylvania,Borough
Armstrong,Madison Township Pennsylvania,2nd Township
Armstrong,Mahoning Township Pennsylvania,2nd Township
Armstrong,Manor Township Pennsylvania,2nd Township
Armstrong,Manorville Borough Pennsylvania,Borough
Armstrong,North Apollo Borough Pennsylvania,Borough
Armstrong,North Buffalo Township Pennsylvania,2nd Township
Armstrong,Parker City Pennsylvania,City
Armstrong,Parks Township Pennsylvania,2nd Township
Armstrong,Perry Township Pennsylvania,2nd Township
