COUNTY,MUNICIPALITY,CLASS
Adams,Berwick Township Pennsylvania,2nd Township
Adams,Butler Township Pennsylvania,2nd Township
Adams,Conewago Township Pennsylvania,2nd Township
Adams,Cumberland Township Pennsylvania,2nd Township
Adams,Franklin Township Pennsylvania,2nd Township
Adams,Freedom Township Pennsylvania,2nd Township
Adams,Germany Township Pennsylvania,2nd Township
Adams,Hamilton Township Pennsylvania,2nd Township
Adams,Hamiltonban Township Pennsylvania,2nd Township
Adams,Highland Township Pennsylvania,2nd Township
Adams,Huntington Township Pennsylvania,2nd Township
Adams,Latimore Township Pennsylvania,2nd Township
Adams,Liberty Township Pennsylvania,2nd Township
Adams,Menallen Township Pennsylvania,2nd Township
Adams,Mt Joy Township Pennsylvania,2nd Township
Adams,Mt Pleasant Township Pennsylvania,2nd Township
Adams,Oxford Township Pennsylvania,2nd Township
Adams,Reading Township Pennsylvania,2nd Township
Adams,Straban Township Pennsylvania,2nd Township
Adams,Tyrone Township Pennsylvania,2nd Township
Adams,Union Township Pennsylvania,2nd Township
Allegheny,Aleppo Township Pennsylvania,1st Township
Allegheny,Baldwin Township Pennsylvania,1st Township
Allegheny,Clairton City Pennsylvania,City
Allegheny,Collier Township Pennsylvania,1st Township
Allegheny,Crescent Township Pennsylvania,1st Township
Allegheny,Duquesne City Pennsylvania,City
Allegheny,East Deer Township Pennsylvania,1st Township
Allegheny,Elizabeth Township Pennsylvania,1st Township
Allegheny,Fawn Township Pennsylvania,2nd Township
Allegheny,Findlay Township Pennsylvania,2nd Township
Allegheny,Forward Township Pennsylvania,2nd Township
Allegheny,Frazer Township Pennsylvania,2nd Township
Allegheny,Hampton Township Pennsylvania,2nd Township
Allegheny,Harmar Township Pennsylvania,2nd Township
Allegheny,Harrison Township Pennsylvania,1st Township
Allegheny,Indiana Township Pennsylvania,2nd Township
Allegheny,Kennedy Township Pennsylvania,1st Township
Allegheny,Kilbuck Township Pennsylvania,2nd Township
Allegheny,Leet Township Pennsylvania,1st Township
Allegheny,Marshall Township Pennsylvania,2nd Township
Allegheny,Mccandless Township Pennsylvania,1st Township
Allegheny,Mckeesport City Pennsylvania,City
Allegheny,Moon Township Pennsylvania,2nd Township
Allegheny,Mt Lebanon Township Pennsylvania,1st Township
Allegheny,Neville Township Pennsylvania,1st Township
Allegheny,North Fayette Township Pennsylvania,2nd Township
Allegheny,North Versailles Township Pennsylvania,1st Township
Allegheny,Ohara Township Pennsylvania,1st Township
Allegheny,Ohio Township Pennsylvania,2nd Township
Allegheny,Penn Hills Township Pennsylvania,1st Township
Allegheny,Pine Township Pennsylvania,2nd Township
Allegheny,Pittsburgh City Pennsylvania,City
Allegheny,Reserve Township Pennsylvania,1st Township
Allegheny,Richland Township Pennsylvania,2nd Township
Allegheny,Robinson Township Pennsylvania,1st Township
Allegheny,Ross Township Pennsylvania,1st Township
Allegheny,Scott Township Pennsylvania,1st Township
Allegheny,Shaler Township Pennsylvania,1st Township
Allegheny,South Fayette Township Pennsylvania,1st Township
Allegheny,South Park Township Pennsylvania,2nd Township
Allegheny,South Versailles Township Pennsylvania,1st Township
Allegheny,Springdale Township Pennsylvania,1st Township
Allegheny,Stowe Township Pennsylvania,1st Township
Allegheny,Upper St Clair Township Pennsylvania,1st Township
Allegheny,West Deer Township Pennsylvania,2nd Township
Allegheny,Wilkins Township Pennsylvania,1st Township
Armstrong,Bethel Township Pennsylvania,2nd Township
Armstrong,Boggs Township Pennsylvania,2nd Township
Armstrong,Bradys Bend Township Pennsylvania,2nd Township
Armstrong,Burrell Township Pennsylvania,2nd Township
Armstrong,Cadogan Township Pennsylvania,2nd Township
Armstrong,Cowanshannock Township Pennsylvania,2nd Township
Armstrong,East Franklin Township Pennsylvania,2nd Township
Armstrong,Gilpin Township Pennsylvania,2nd Township
Armstrong,Hovey Township Pennsylvania,2nd Township
Armstrong,Kiskiminetas Township Pennsylvania,2nd Township
Armstrong,Kittanning Township Pennsylvania,2nd Township
Armstrong,Madison Township Pennsylvania,2nd Township
Armstrong,Mahoning Township Pennsylvania,2nd Township
Armstrong,Manor Township Pennsylvania,2nd Township
Armstrong,North Buffalo Township Pennsylvania,2nd Township
Armstrong,Parker City Pennsylvania,City
Armstrong,Parks Township Pennsylvania,2nd Township
Armstrong,Perry Township Pennsylvania,2nd Township
Armstrong,Pine Township Pennsylvania,2nd Township
Armstrong,Plumcreek Township Pennsylvania,2nd Township
Armstrong,Rayburn Township Pennsylvania,2nd Township
Armstrong,Redbank Township Pennsylvania,2nd Township
Armstrong,South Bend Township Pennsylvania,2nd Township
Armstrong,South Buffalo Township Pennsylvania,2nd Township
Armstrong,Sugarcreek Township Pennsylvania,2nd Township
Armstrong,Valley Township Pennsylvania,2nd Township
Armstrong,Washington Township Pennsylvania,2nd Township
Armstrong,Wayne Township Pennsylvania,2nd Township
Armstrong,West Franklin Township Pennsylvania,2nd Township
Beaver,Aliquippa City Pennsylvania,City
