COUNTY,MUNICIPALITY,CLASS
Adams,Abbottstown Borough,Borough
Adams,Arendtsville Borough,Borough
Adams,Bendersville Borough,Borough
Adams,Berwick Township,2nd Township
Adams,Biglerville Borough,Borough
Adams,Bonneauville Borough,Borough
Adams,Butler Township,2nd Township
Adams,Carroll Valley Borough,Borough
Adams,Conewago Township,2nd Township
Adams,Cumberland Township,2nd Township
Adams,East Berlin Borough,Borough
Adams,Fairfield Borough,Borough
Adams,Franklin Township,2nd Township
Adams,Freedom Township,2nd Township
Adams,Germany Township,2nd Township
Adams,Gettysburg Borough,Borough
Adams,Hamilton Township,2nd Township
Adams,Hamiltonban Township,2nd Township
Adams,Highland Township,2nd Township
Adams,Huntington Township,2nd Township
Adams,Latimore Township,2nd Township
Adams,Liberty Township,2nd Township
Adams,Littlestown Borough,Borough
Adams,Mcsherrystown Borough,Borough
Adams,Menallen Township,2nd Township
Adams,Mt Joy Township,2nd Township
Adams,Mt Pleasant Township,2nd Township
Adams,New Oxford Borough,Borough
Adams,Oxford Township,2nd Township
Adams,Reading Township,2nd Township
Adams,Straban Township,2nd Township
Adams,Tyrone Township,2nd Township
Adams,Union Township,2nd Township
Adams,York Springs Borough,Borough
Allegheny,Aleppo Township,1st Township
Allegheny,Aspinwall Borough,Borough
Allegheny,Avalon Borough,Borough
Allegheny,Baldwin Borough,Borough
Allegheny,Baldwin Township,1st Township
Allegheny,Bell Acres Borough,Borough
Allegheny,Bellevue Borough,Borough
Allegheny,Ben Avon Borough,Borough
Allegheny,Ben Avon Heights Borough,Borough
Allegheny,Bethel Park Borough,Borough
Allegheny,Blawnox Borough,Borough
Allegheny,Brackenridge Borough,Borough
Allegheny,Braddock Borough,Borough
Allegheny,Braddock Hills Borough,Borough
Allegheny,Bradford Woods Borough,Borough
Allegheny,Brentwood Borough,Borough
Allegheny,Bridgeville Borough,Borough
Allegheny,Carnegie Borough,Borough
Allegheny,Castle Shannon Borough,Borough
Allegheny,Chalfant Borough,Borough
Allegheny,Cheswick Borough,Borough
Allegheny,Churchill Borough,Borough
Allegheny,Clairton City,City
Allegheny,Collier Township,1st Township
Allegheny,Coraopolis Borough,Borough
Allegheny,Crafton Borough,Borough
Allegheny,Crescent Township,1st Township
Allegheny,Dormont Borough,Borough
Allegheny,Dravosburg Borough,Borough
Allegheny,Duquesne City,City
Allegheny,East Deer Township,1st Township
Allegheny,East Mckeesport Borough,Borough
Allegheny,East Pittsburgh Borough,Borough
Allegheny,Edgewood Borough,Borough
Allegheny,Edgeworth Borough,Borough
Allegheny,Elizabeth Borough,Borough
Allegheny,Elizabeth Township,1st Township
Allegheny,Emsworth Borough,Borough
Allegheny,Etna Borough,Borough
Allegheny,Fawn Township,2nd Township
Allegheny,Findlay Township,2nd Township
Allegheny,Forest Hills Borough,Borough
Allegheny,Forward Township,2nd Township
Allegheny,Fox Chapel Borough,Borough
Allegheny,Franklin Park Borough,Borough
Allegheny,Frazer Township,2nd Township
Allegheny,Glassport Borough,Borough
Allegheny,Glen Osborne Borough,Borough
Allegheny,Glenfield Borough,Borough
Allegheny,Green Tree Borough,Borough
Allegheny,Hampton Township,2nd Township
Allegheny,Harmar Township,2nd Township
Allegheny,Harrison Township,1st Township
Allegheny,Haysville Borough,Borough
Allegheny,Heidelberg Borough,Borough
Allegheny,Homestead Borough,Borough
Allegheny,Indiana Township,2nd Township
Allegheny,Ingram Borough,Borough
Allegheny,Jefferson Hills Borough,Borough
Allegheny,Kennedy Township,1st Township
Allegheny,Kilbuck Township,2nd Township
Allegheny,Leet Township,1st Township
Allegheny,Leetsdale Borough,Borough
Allegheny,Liberty Borough,Borough
Allegheny,Lincoln Borough,Borough
Allegheny,Marshall Township,2nd Township
Allegheny,Mccandless Township,1st Township
Allegheny,Mckees Rocks Borough,Borough
Allegheny,Mckeesport City,City
Allegheny,Millvale Borough,Borough
Allegheny,Monroeville Borough,Borough
Allegheny,Moon Township,2nd Township
Allegheny,Mount Oliver Borough,Borough
Allegheny,Mt Lebanon Township,1st Township
Allegheny,Munhall Borough,Borough
Allegheny,Neville Township,1st Township
Allegheny,North Braddock Borough,Borough
Allegheny,North Fayette Township,2nd Township
Allegheny,North Versailles Township,1st Township
