COUNTY,MUNICIPALITY,CLASS,URL
Adams,Berwick Township Pennsylvania,2nd Township,https://www.berwicktownship.com/
Adams,Butler Township Pennsylvania,2nd Township,http://www.butlertownship.org/
Adams,Conewago Township Pennsylvania,2nd Township,http://www.conewagotwp.us/
Adams,Cumberland Township Pennsylvania,2nd Township,http://cumberlandtownship.com/
Adams,Franklin Township Pennsylvania,2nd Township,https://www.franklintownship.us/
Adams,Freedom Township Pennsylvania,2nd Township,http://www.freedomtownship.us/
Adams,Germany Township Pennsylvania,2nd Township,https://germanytownship.org/
Adams,Hamilton Township Pennsylvania,2nd Township,https://twphamilton.com/
Adams,Hamiltonban Township Pennsylvania,2nd Township,http://www.hamiltonban.com/
Adams,Highland Township Pennsylvania,2nd Township,http://highlandtwp1853.org/
Adams,Huntington Township Pennsylvania,2nd Township,https://www.adamscountypa.gov/huntington-township
Adams,Latimore Township Pennsylvania,2nd Township,http://latimore.org/
Adams,Liberty Township Pennsylvania,2nd Township,https://liberty.adamscountypa.gov/departments/township-officials
Adams,Menallen Township Pennsylvania,2nd Township,https://www.adamscountypa.gov/municipalities/menallentownship
Adams,Mt Joy Township Pennsylvania,2nd Township,https://www.mtjoytwp.org/
Adams,Mt Pleasant Township Pennsylvania,2nd Township,http://www.mtpleasanttwp.com/
Adams,Oxford Township Pennsylvania,2nd Township,https://oxfordtwp.com/
Adams,Reading Township Pennsylvania,2nd Township,https://www.readingpa.gov/
Adams,Straban Township Pennsylvania,2nd Township,http://www.strabantownship.com/
Adams,Tyrone Township Pennsylvania,2nd Township,https://www.tyronetownship.us/
Adams,Union Township Pennsylvania,2nd Township,https://uniontwp.com/
Allegheny,Aleppo Township Pennsylvania,1st Township,https://aleppotownship.com/
Allegheny,Baldwin Township Pennsylvania,1st Township,https://baldwintownship.com/
Allegheny,Clairton City Pennsylvania,City,http://cityofclairton.com/
Allegheny,Collier Township Pennsylvania,1st Township,https://colliertownship.net/
Allegheny,Crescent Township Pennsylvania,1st Township,http://crescenttownship.com/
Allegheny,Duquesne City Pennsylvania,City,http://www.duquesnepa.us/
Allegheny,East Deer Township Pennsylvania,1st Township,http://eastdeertownship.org/
Allegheny,Elizabeth Township Pennsylvania,1st Township,https://elizabethtownship.net/
Allegheny,Fawn Township Pennsylvania,2nd Township,https://www.fawntownship.com/
Allegheny,Findlay Township Pennsylvania,2nd Township,https://findlay.pa.us/
Allegheny,Forward Township Pennsylvania,2nd Township,https://forwardtwpbutlerco.us/
Allegheny,Frazer Township Pennsylvania,2nd Township,http://www.frazertownship.net/
Allegheny,Hampton Township Pennsylvania,2nd Township,http://hampton-pa.org/
Allegheny,Harmar Township Pennsylvania,2nd Township,https://www.harmartownship-pa.gov/
Allegheny,Harrison Township Pennsylvania,1st Township,https://harrisontwp.com/
Allegheny,Indiana Township Pennsylvania,2nd Township,https://indianatownship.com/
Allegheny,Kennedy Township Pennsylvania,1st Township,https://www.kennedytwp.com/
Allegheny,Kilbuck Township Pennsylvania,2nd Township,https://www.kilbucktownship.org/
Allegheny,Leet Township Pennsylvania,1st Township,https://leettownship.org/
Allegheny,Marshall Township Pennsylvania,2nd Township,http://www.twp.marshall.pa.us/
Allegheny,Mccandless Township Pennsylvania,1st Township,https://www.townofmccandless.org/
Allegheny,Mckeesport City Pennsylvania,City,http://www.mckeesport-pa.gov/
Allegheny,Moon Township Pennsylvania,2nd Township,http://moontwp.com/
Allegheny,Mt Lebanon Township Pennsylvania,1st Township,https://www.mtlebanon.org/
Allegheny,Neville Township Pennsylvania,1st Township,https://nevilletownship.us/
Allegheny,North Fayette Township Pennsylvania,2nd Township,https://www.north-fayette.com/
Allegheny,North Versailles Township Pennsylvania,1st Township,https://nvtpa.com/
Allegheny,Ohara Township Pennsylvania,1st Township,https://www.ohara.pa.us/
Allegheny,Ohio Township Pennsylvania,2nd Township,https://www.ohiotwp.org/
Allegheny,Penn Hills Township Pennsylvania,1st Township,https://pennhillspa.gov/
Allegheny,Pine Township Pennsylvania,2nd Township,http://twp.pine.pa.us/
Allegheny,Pittsburgh City Pennsylvania,City,https://pittsburghpa.gov/
Allegheny,Reserve Township Pennsylvania,1st Township,https://reservetwp.com/
Allegheny,Richland Township Pennsylvania,2nd Township,https://www.richlandtwp.com/
Allegheny,Robinson Township Pennsylvania,1st Township,https://robinsonpa.gov/
Allegheny,Ross Township Pennsylvania,1st Township,https://www.ross.pa.us/
Allegheny,Scott Township Pennsylvania,1st Township,https://scott-twp.com/
Allegheny,Shaler Township Pennsylvania,1st Township,http://www.shaler.org/
Allegheny,South Fayette Township Pennsylvania,1st Township,https://www.southfayettepa.com/
Allegheny,South Park Township Pennsylvania,2nd Township,http://www.southparktwp.com/
