COUNTY,MUNICIPALITY,CLASS,URL
Westmoreland,Monessen City Pennsylvania,City,https://www.cityofmonessen.com/
Westmoreland,Mt Pleasant Township Pennsylvania,2nd Township,http://www.mtpleasanttwp.com/
Westmoreland,New Kensington City Pennsylvania,City,https://www.newkensingtonpa.org/
Westmoreland,North Huntingdon Township Pennsylvania,1st Township,https://township.north-huntingdon.pa.us/
Westmoreland,Penn Township Pennsylvania,1st Township,https://penntwp.org/
Westmoreland,Rostraver Township Pennsylvania,1st Township,https://www.rostraver.us/
Westmoreland,Salem Township Pennsylvania,2nd Township,https://salemtownshippa.com/
Westmoreland,Sewickley Township Pennsylvania,2nd Township,https://www.sewickleytownship.org/
Westmoreland,South Huntingdon Township Pennsylvania,2nd Township,https://www.southhuntingdontownship.org/
Westmoreland,St. Clair Township Pennsylvania,2nd Township,https://newflorenceborough.org/government/police/st-clair-township-department/
Westmoreland,Unity Township Pennsylvania,2nd Township,https://www.unitytownship.org/
Westmoreland,Upper Burrell Township Pennsylvania,2nd Township,https://upperburrelltwp.com/
Westmoreland,Washington Township Pennsylvania,2nd Township,http://www.washtwp-franklin.org/
Wyoming,Braintrim Township Pennsylvania,2nd Township,https://www.niche.com/places-to-live/braintrim-township-wyoming-pa/
Wyoming,Clinton Township Pennsylvania,2nd Township,https://www.clintontwp.org/
Wyoming,Eaton Township Pennsylvania,2nd Township,https://eatontwp.com/
Wyoming,Exeter Township Pennsylvania,2nd Township,https://www.exetertownship.com/
Wyoming,Falls Township Pennsylvania,2nd Township,https://www.fallstwp.com/
Wyoming,Forkston Township Pennsylvania,2nd Township,https://www.realtor.com/realestateandhomes-search/Forkston-Township_PA
Wyoming,Lemon Township Pennsylvania,2nd Township,https://www.lemontownshippa.gov/
Wyoming,Mehoopany Township Pennsylvania,2nd Township,http://www.mehoopanytwp.org/
Wyoming,Meshoppen Township Pennsylvania,2nd Township,http://www.meshoppen.com/officials.htm
Wyoming,Monroe Township Pennsylvania,2nd Township,http://www.monroetwp.net/
Wyoming,Nicholson Township Pennsylvania,2nd Township,https://www.nicholsonheritage.org/nicholson/
Wyoming,North Branch Township Pennsylvania,2nd Township,https://www.niche.com/places-to-live/north-branch-township-wyoming-pa/
Wyoming,Northmoreland Township Pennsylvania,2nd Township,https://www.niche.com/places-to-live/northmoreland-township-wyoming-pa/
Wyoming,Noxen Township Pennsylvania,2nd Township,https://www.noxenpa.com/
Wyoming,Overfield Township Pennsylvania,2nd Township,https://overfieldtwp.com/
Wyoming,Tunkhannock Township Pennsylvania,2nd Township,https://tunkhannocktwp.org/
Wyoming,Washington Township Pennsylvania,2nd Township,http://www.washtwp-franklin.org/
Wyoming,Windham Township Pennsylvania,2nd Township,https://bradfordcountypa.org/boroughs-and-townships/
York,Carroll Township Pennsylvania,2nd Township,https://carrolltwp.org/
York,Chanceford Township Pennsylvania,2nd Township,https://www.chancefordtwp.com/
York,Codorus Township Pennsylvania,2nd Township,https://codorustownship.org/
York,Conewago Township Pennsylvania,2nd Township,http://www.conewagotwp.us/
York,Dover Township Pennsylvania,2nd Township,https://www.dovertownship.org/
York,East Hopewell Township Pennsylvania,2nd Township,http://business.ycea-pa.org/list/member/east-hopewell-township-18921
York,East Manchester Township Pennsylvania,2nd Township,https://emanchestertwp.com/
York,Fairview Township Pennsylvania,2nd Township,https://www.fairviewtownship.com/
York,Fawn Township Pennsylvania,2nd Township,https://www.fawntownship.com/
York,Franklin Township Pennsylvania,2nd Township,https://www.franklintownship.us/
York,Heidelberg Township Pennsylvania,2nd Township,https://heidelbergtownship.com/
York,Hellam Township Pennsylvania,2nd Township,https://www.hellamtownship.com/
York,Hopewell Township Pennsylvania,2nd Township,https://hopewelltwp.com/
York,Jackson Township Pennsylvania,2nd Township,http://www.jacksontwp-pa.gov/
York,Lower Chanceford Township Pennsylvania,2nd Township,http://lowerchancefordtwppa.gov/index.php
York,Lower Windsor Township Pennsylvania,2nd Township,http://lowerwindsor.com/
York,Manchester Township Pennsylvania,2nd Township,https://www.mantwp.com/
York,Manheim Township Pennsylvania,2nd Township,https://www.manheimtownship.org/
York,Monaghan Township Pennsylvania,2nd Township,https://www.monaghantownship.com/
York,Newberry Township Pennsylvania,2nd Township,https://newberrytwp.com/
York,North Codorus Township Pennsylvania,2nd Township,http://northcodorustwp.org/
York,North Hopewell Township Pennsylvania,2nd Township,https://www.northhopewelltwp.com/
York,Paradise Township Pennsylvania,2nd Township,https://www.paradisetownship.com/
York,Peach Bottom Township Pennsylvania,2nd Township,http://www.peachbottomtownship.org/
York,Penn Township Pennsylvania,1st Township,https://penntwp.org/
York,Shrewsbury Township Pennsylvania,2nd Township,https://www.shrewsburytownship.org/
York,Spring Garden Township Pennsylvania,1st Township,https://www.springgardentwp.org/
York,Springettsbury Township Pennsylvania,2nd Township,http://www.springettsbury.com/
York,Springfield Township Pennsylvania,2nd Township,https://www.springfielddelco.org/
York,Warrington Township Pennsylvania,2nd Township,https://www.warringtontownship.org/
York,Washington Township Pennsylvania,2nd Township,http://www.washtwp-franklin.org/
York,West Manchester Township Pennsylvania,2nd Township,https://www.westmanchestertownship.com/
York,West Manheim Township Pennsylvania,2nd Township,https://westmanheimtwp.com/
York,Windsor Township Pennsylvania,2nd Township,https://www.windsortwp.com/
York,York City Pennsylvania,City,https://www.yorkcity.org/
York,York Township Pennsylvania,1st Township,https://www.yorktownship.com/
